_id,Version_UID,accessories_package,city_id,city_name,cow_cess,engine_protect,ex_showroom_price,extended_warranty,fastag,five_year_extended_warranty,four_year_extended_warranty,four_year_rsa,genuine_accessories,hypothecation_charges,insurance,mcd,model_id,one_year_extended_warranty,one_year_rsa,paint_protection,registeration_charges,road_safety_tax_cess,rsa,rti,rto,rto_bh_series,rto_corporate,second_year_extended_warranty,shield_of_trust,state,tax_collected_at_source_tcs,three_m_protection,three_year_extended_warranty,two_year_rsa,brand,model_name,version_name
6434e9cdaf924b64c96cc53b,224,,507,Siddharthnagar,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,UTTAR PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc53c,224,,264,Sidhi,,,836900,,500,,,,,1500,43960,,26,,,,,,,,74952,66952,66952,,,MADHYA PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc551,224,,164,Srinagar,,,836900,,500,,,,,1500,43960,,26,,,,,,,,66583,,66952,,,JAMMU & KASHMIR,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc566,224,,436,Tirunelveli,,,836900,,500,,,,,1500,43960,,26,,,,,1500,,,91690,66952,83690,,,TAMIL NADU,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc56c,224,,410,Udaipur,,,836900,,500,,,,,1500,43960,,26,,,,,,,,83321,66952,75321,,,RAJASTHAN,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc57a,224,9000,512,Varanasi,,,836900,,500,,,,,1500,39182,,26,10278,,,,,,,69752,66952,66952,,,UTTAR PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc57b,224,,439,Vellore,,,836900,,500,,,,,1500,43960,,26,,,,,1500,,,91690,66952,83690,,,TAMIL NADU,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc580,224,3000,10,Vizianagaram,,,836900,,500,,,,,2750,51085,,26,,,,,,,,117170,66952,117166,,,ANDHRA PRADESH,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc582,224,,297,Wardha,,,836900,,500,,,,,1500,43960,,26,,,,,2001,,,100059,66952,167380,,,MAHARASHTRA,,,,,Hyundai,Aura,SX Plus AMT
6434e9cdaf924b64c96cc588,224,,314,West Khasi Hills,,,836900,,500,,,,,1500,43960,,26,,,,,,,,17000,,66952,,,MEGHALAYA,,,,,Hyundai,Aura,SX Plus AMT
